32477,32477,5430.0,15597.0,25,\N
32540,UHPP,5302.0,15872.0,78,PETROPAVLOVSK-KAMCHATSKIJ
32618,32618,5520.0,16598.0,14,\N
33041,33041,5240.0,3096.0,132,\N
33317,33317,5017.0,2705.0,278,\N
33345,UKKK,5040.0,3045.0,167,KIEV/ZHULYANY
33393,UKLL,4982.0,2395.0,323,\N
33791,UKDR,4792.0,3322.0,100,KRYVYI RIH
33837,UKOO,4648.0,3063.0,42,\N
34009,34009,5165.0,3618.0,246,KURSK
34172,UWSS,5157.0,4603.0,166,\N
34247,34247,5042.0,4105.0,93,KALAC
34300,34300,4993.0,3628.0,148,\N
34467,URWW,4878.0,4435.0,147,\N
34731,URRR,4725.0,3982.0,78,\N
34858,34858,4592.0,4335.0,87,DIVNOE
34882,34882,4628.0,4801.0,-20,\N
35121,35121,5175.0,5510.0,119,ORENBURG
35229,UATT,5017.0,5709.0,219,AKTJUBINSK
35394,35394,4948.0,7309.0,553,KARAGANDA
35671,35671,4780.0,6772.0,345,\N
35700,35700,4712.0,5192.0,-22,GUR'EV
36003,36003,5228.0,7695.0,118,\N
36096,36096,5167.0,9438.0,629,\N
36872,36872,4336.0,7700.0,663,\N
37011,37011,4410.0,3907.0,41,\N
37055,URMM,4422.0,4310.0,314,\N
37259,37259,4301.0,4748.0,2,\N
37789,UGEE,4013.0,4447.0,1140,\N
38064,38064,4477.0,6552.0,133,\N
38341,38341,4251.0,7123.0,651,DZAMBUL
40179,40179,3200.0,3482.0,35,BET DAGAN
40373,OEPA,2833.0,4612.0,359,HAFR AL-BATIN ARPT
40375,OETB,2837.0,3658.0,768,TABUK (SAUD-AFB)
40394,OEHL,2743.0,4168.0,1015,\N
40417,OEMF,2644.0,4981.0,12,KING FAHAD INTERNATIONAL APT
40430,OEMA,2455.0,3972.0,636,MADINAH INTL ARPT
40437,OERK,2493.0,4672.0,612,\N
40706,OITT,3813.0,4625.0,1361,\N
40745,OIMM,3627.0,5963.0,999,\N
40754,OIII,3568.0,5132.0,1191,TEHRAN/MEHRABAD AFB
40766,OICC,3435.0,4715.0,1322,KERMANSHAH/BAKTARAN
40800,OIFM,3262.0,5167.0,1550,ESFAHAN (CIV/AFB)
40809,OIMB,3287.0,5920.0,1491,\N
40811,OIMB,3133.0,4867.0,22,\N
40841,OIKK,3025.0,5697.0,1754,\N
40848,OISS,2953.0,5260.0,1484,\N
40856,40856,2947.0,6088.0,1379,\N
41024,OEJN,2170.0,3918.0,17,JEDDAH/ABDUL AZIZ
41112,OEAB,1823.0,4265.0,2093,ABHA
41217,OMAA,2443.0,5465.0,27,ABU DHABI INTL
41316,OOSA,1703.0,5408.0,17,\N
42101,42101,3033.0,7647.0,249,PATIALA
42182,VIDD,2858.0,7720.0,267,DELHI/SAFDARJUNG
42369,VILK,2675.0,8088.0,122,LUCKNOW/AMAUSI
42379,VEGK,2675.0,8337.0,77,\N
