    254     12     19      MAY    2020
      1  92803  72202  25.75N 80.38W     4   1103
      4   8500   1476    140    121    250     17
      6   8146   1828  99999  99999    265     22
      6   7852   2133  99999  99999    260     17
      6   7568   2438  99999  99999    255     19
      5   7480   2535     76     62  99999  99999
      5   7350   2679     78     42  99999  99999
      6   7293   2743  99999  99999    245     20
      5   7040   3031     48     20  99999  99999
      6   7028   3048  99999  99999    240     21
      4   7000   3089     48      5    250     21
      5   6960   3136     50    -20  99999  99999
      5   6910   3195     74   -196  99999  99999
      5   6890   3219     82   -358  99999  99999
      5   6810   3315     88   -402  99999  99999
      6   6779   3352  99999  99999    295     17
      6   6532   3657  99999  99999    315     22
      5   6360   3876     68   -422  99999  99999
      6   6293   3962  99999  99999    320     34
      6   6060   4267  99999  99999    310     35
      6   5836   4572  99999  99999    300     40
      5   5830   4581     20   -410  99999  99999
      6   5618   4876  99999  99999    300     33
      5   5420   5161    -35   -305  99999  99999
      5   5130   5592    -61   -381  99999  99999
      6   5006   5791  99999  99999    270     35
      4   5000   5800    -79   -369    270     35
      6   4811   6096  99999  99999    275     31
      5   4750   6195   -113   -413  99999  99999
      6   4440   6705  99999  99999    290     28
      6   4265   7010  99999  99999    315     31
      5   4230   7072   -171   -611  99999  99999
      4   4000   7490   -209   -639    315     32
      6   3930   7620  99999  99999    320     34
      5   3800   7865   -243   -663  99999  99999
      6   3769   7924  99999  99999    320     39
      5   3600   8256   -273   -523  99999  99999
      5   3480   8498   -291   -671  99999  99999
      6   3174   9144  99999  99999    315     50
      4   3000   9540   -385   -725    310     43
      5   2880   9818   -411   -701  99999  99999
      6   2538  10668  99999  99999    310     40
      4   2500  10770   -481   -741    300     39
      5   2480  10823   -485   -725  99999  99999
      6   2424  10972  99999  99999    290     34
      5   2340  11203   -497   -827  99999  99999
      6   2207  11582  99999  99999    295     49
      5   2180  11661   -535   -845  99999  99999
      5   2070  11993   -537   -867  99999  99999
      6   2006  12192  99999  99999    300     28
      4   2000  12210   -551   -871    290     27
      7   1840  12736   -593   -823    285     34
      6   1822  12801  99999  99999    285     34
      5   1790  12912   -577   -827  99999  99999
      5   1740  13090   -581   -901  99999  99999
      5   1720  13163   -571   -891  99999  99999
      5   1680  13311   -581   -901  99999  99999
      6   1653  13411  99999  99999    255     17
      5   1650  13424   -577   -897  99999  99999
      4   1500  14020   -613   -923    245     39
      5   1490  14061   -615   -925  99999  99999
      5   1390  14491   -605   -915  99999  99999
      5   1370  14581   -593   -903  99999  99999
      6   1359  14630  99999  99999    255     44
      5   1320  14813   -603   -913  99999  99999
      5   1280  15005   -597   -907  99999  99999
      6   1232  15240  99999  99999    265     31
      5   1210  15354   -617   -917  99999  99999
      5   1180  15510   -599   -909  99999  99999
      5   1130  15779   -607   -917  99999  99999
      5   1070  16118   -605   -915  99999  99999
      4   1000  16540   -623   -923    245     26
      6    748  18288  99999  99999    300      6
      5    736  18382   -724  99999  99999  99999
      7    736  18382   -724  99999    315      7
      4    700  18690   -695   -975    360     11
      6    676  18897  99999  99999     15     13
      5    669  18963   -641   -941  99999  99999
      6    643  19202  99999  99999     85     16
      6    611  19507  99999  99999     95     12
      6    581  19812  99999  99999    235     14
      5    580  19826   -681   -971  99999  99999
      6    526  20421  99999  99999      0      0
      5    519  20501   -621   -921  99999  99999
      4    500  20740   -633   -933     95      7
      5    457  21290   -643   -943  99999  99999
      6    454  21336  99999  99999     30     11
      6    432  21640  99999  99999     85     11
      5    415  21881   -623   -923  99999  99999
      5    395  22185   -631   -931  99999  99999
      6    391  22250  99999  99999     45     11
      6    372  22555  99999  99999     65     23
      5    364  22691   -595   -905  99999  99999
      6    354  22860  99999  99999     85     15
      5    345  23026   -603   -913  99999  99999
      6    337  23164  99999  99999     60     14
      6    321  23469  99999  99999     60     18
      4    300  23900   -577   -897     85     16
      5    278  24381   -561   -881  99999  99999
      6    278  24384  99999  99999     75     10
      6    230  25603  99999  99999     85      2
      4    200  26480   -543   -873     30      8
      5    199  26512   -541   -871  99999  99999
      5    179  27195   -503   -843  99999  99999
      6    173  27432  99999  99999    115      9
      5    169  27568   -511   -851  99999  99999
      6    165  27736  99999  99999    120     12
      5    161  27884   -483   -823  99999  99999
      5    139  28853   -461   -811  99999  99999
      5    129  29347   -469   -819  99999  99999
      6    119  29870  99999  99999    275     15
      6    109  30480  99999  99999    315     14
      5    107  30589   -445   -805  99999  99999
      4    100  31060   -421   -781    320      3
      5     98  31197   -413   -783  99999  99999
      5     83  32328   -387   -757  99999  99999
      6     76  32918  99999  99999    200      5
      5     74  33122   -339   -729  99999  99999
    254     12     19      MAY    2020
      1  53813  72233  30.33N 89.82W     8   1101
      2    100   1575   1940    142  99999      3
      3           SIL                   52     kt
      9  10100      8    164    158      0      0
      5  10040     59    216    198  99999  99999
      5  10010     85    232    199  99999  99999
      4  10000     92    234    198    245      6
      5   9890    188    234    144  99999  99999
      6   9758    304  99999  99999    290     11
      5   9750    311    234    144  99999  99999
      6   9423    609  99999  99999    295     12
      4   9250    771    198    118    305     15
      6   9095    914  99999  99999    310     13
      6   8773   1219  99999  99999    305     16
      5   8530   1457    138     97  99999  99999
      4   8500   1492    136     86    305     20
      5   8370   1621    136     36  99999  99999
      5   8290   1701    140     30  99999  99999
      5   8240   1752    140     70  99999  99999
      5   8190   1803    146    -24  99999  99999
      6   8166   1828  99999  99999    320     30
      5   8130   1865    142     52  99999  99999
      5   8080   1917    144     34  99999  99999
      5   8020   1980    138     78  99999  99999
      5   7930   2076    138     38  99999  99999
      6   7875   2133  99999  99999    320     36
      5   7850   2160    130     84  99999  99999
      5   7720   2299    122     74  99999  99999
      5   7670   2353    122     52  99999  99999
      5   7620   2407    120     60  99999  99999
      6   7592   2438  99999  99999    325     38
      5   7550   2484    122     12  99999  99999
      5   7460   2584    118    -22  99999  99999
      6   7319   2743  99999  99999    330     38
      5   7240   2834    132   -248  99999  99999
      5   7150   2938    126   -274  99999  99999
      4   7000   3123    112   -148    335     39
      5   6950   3182    106   -124  99999  99999
      6   6808   3352  99999  99999    335     39
